id,uf,idade,sexo,cor_raca,escolaridade,contra_aborto,votou_bolsonato_1t_2018
R_2uW1vyRm1277gKz,PR,25 a 34 anos,Mulher,Branca,Médio,0,1
R_p4ulLDEmGiFR38Z,MG,18 a 24 anos,Homem,Parda,Superior,0,0
R_2aRLPtaOpnHWQzk,SP,35 a 44 anos,Mulher,Preta,Superior,0,0
R_1E4Nt5cODLLDCwG,PA,25 a 34 anos,Homem,Parda,Superior,0,0
R_1CBdQkqvcO3xYGG,MG,35 a 44 anos,Homem,Parda,Médio,1,0
R_2e5aEEZvKYVimj3,SP,18 a 24 anos,Mulher,Parda,Médio,1,0
R_cTOgWQNFw1x6Nqh,PE,35 a 44 anos,Homem,Branca,Superior,0,1
R_1g8vQ498eJcEzek,RN,18 a 24 anos,Mulher,Parda,Superior,0,1
R_2CdJ8XUfZp5b34r,RS,45 a 59 anos,Homem,Branca,Superior,1,0
R_2fjLWei44WDllmQ,MG,18 a 24 anos,Mulher,Parda,Médio,0,1
R_1FxIzmwVIcRxgUi,MG,18 a 24 anos,Mulher,Branca,Superior,0,0
R_27liIow7mLFKiYq,SP,18 a 24 anos,Homem,Branca,Superior,0,0
R_1CBGLSLV8xg72Gx,SP,35 a 44 anos,Homem,Parda,Médio,1,0
R_3IOWrIBhQ0Cte93,RS,25 a 34 anos,Homem,Branca,Médio,0,0
R_1QLCQbsUMQexv9o,RS,25 a 34 anos,Homem,Branca,Superior,0,0
R_3JmA2BpGVwT6Npi,SP,45 a 59 anos,Homem,Parda,Médio,1,0
R_24OsPxDsjTOkbmW,SP,25 a 34 anos,Mulher,Parda,Médio,0,1
R_20SUKLHmC0xvaPN,SP,45 a 59 anos,Homem,Parda,Superior,0,1
R_3HYalSaDeX6LtW1,SP,25 a 34 anos,Homem,Branca,Superior,1,1
R_2diNiUUg3uu8H7s,MG,25 a 34 anos,Mulher,Preta,Médio,0,0
R_2thzHW30D5usKBz,PR,45 a 59 anos,Mulher,Preta,Médio,1,0
R_3iySBgqI5TnS6zd,PE,25 a 34 anos,Mulher,Parda,Fundamental,0,0
R_2R8QQBcaHUFZqqU,SP,45 a 59 anos,Homem,Branca,Superior,1,0
R_b1M5azGpJ8qFfNL,BA,25 a 34 anos,Mulher,Preta,Superior,1,1
R_3iqWer3UAoU7Wqh,RJ,25 a 34 anos,Mulher,Branca,Superior,0,0
R_1gwi4Gj7f5HR4pa,CE,25 a 34 anos,Mulher,Parda,Superior,0,0
R_22VyibYlWxMx56B,SP,18 a 24 anos,Homem,Parda,Médio,1,1
R_0VrJYSuIEdecVUd,SE,18 a 24 anos,Mulher,Parda,Superior,0,0
R_3F56vxjPXWnbKJ9,ES,25 a 34 anos,Mulher,Parda,Médio,0,0
R_3DikoNnBwYr56ZD,RJ,18 a 24 anos,Mulher,Outras,Médio,0,0
R_3EFThPvo6U6GyKB,PE,45 a 59 anos,Mulher,Parda,Médio,1,0
R_UYGeOfW458A9kZj,RJ,45 a 59 anos,Mulher,Preta,Médio,0,1
R_3D6YNTru6MlcigU,RS,18 a 24 anos,Mulher,Preta,Médio,1,0
R_1FP7qqMZflR1uhE,AC,18 a 24 anos,Homem,Parda,Superior,0,1
R_2az9XqZwBtpU09g,RJ,18 a 24 anos,Mulher,Parda,Médio,0,0
R_3Mo3cODF9cdJHcw,RS,25 a 34 anos,Mulher,Branca,Superior,0,1
R_UJVXJqdwve8jEo9,SC,35 a 44 anos,Mulher,Parda,Médio,0,1
R_2rubUVJ44cEjiN8,CE,18 a 24 anos,Homem,Parda,Superior,0,0
R_BsUjfpzz8Is2ga5,SP,35 a 44 anos,Homem,Branca,Superior,0,0
R_dmwwpPFh9w21FbX,RN,18 a 24 anos,Homem,Preta,Médio,0,1
R_2ri4HcGQltkekPW,PR,18 a 24 anos,Homem,Branca,Superior,0,0
R_3qOIQW4k4TbY51X,PE,25 a 34 anos,Mulher,Parda,Superior,0,0
R_1JEpjA3VqqHT5I1,SP,35 a 44 anos,Mulher,Parda,Superior,0,0
R_VU1uF9ofVzfeKQN,PR,18 a 24 anos,Mulher,Branca,Médio,0,0
R_21tAKphKjYQm7qZ,SP,18 a 24 anos,Mulher,Parda,Superior,0,0
R_XGFXNECkJYj9jTr,MG,35 a 44 anos,Mulher,Parda,Superior,0,0
R_1pLSwebOF8Kpngz,SC,18 a 24 anos,Mulher,Preta,Superior,0,0
R_AvA98AB9ZyjApLb,BA,45 a 59 anos,Mulher,Branca,Superior,1,1
R_RyLEjHMnWp9Qqtz,RJ,45 a 59 anos,Homem,Branca,Superior,1,0
R_3fd5Zu1dhre4H1N,PE,45 a 59 anos,Homem,Branca,Superior,0,1
R_1hBgoZws1lqXTkn,CE,25 a 34 anos,Mulher,Parda,Superior,0,0
R_33pSp8zoDOWQ0rV,PE,35 a 44 anos,Mulher,Parda,Superior,0,0
R_1QggUPu39CeK1s7,RN,45 a 59 anos,Mulher,Branca,Superior,0,0
R_ZDHBUjmNWCymKch,RJ,45 a 59 anos,Mulher,Parda,Fundamental,1,0
R_upRUUGkOw8lvY8F,RJ,35 a 44 anos,Mulher,Branca,Superior,0,1
R_1pXqbpx8fBRdjId,SP,25 a 34 anos,Mulher,Branca,Superior,0,0
